id,title,subtitle,type,category,year,role,summary,tech,highlights,images,demo_link,repo_link,homeFeatured
"energy-efficient-college","Energy Efficient College Building","Planning, analysis, design & energy optimisation","Civil / BIM","civil","2024","Final Year B.Tech Project","Designed an energy-efficient G+2 educational building using advanced BIM workflows including site study, planning, structural analysis, energy optimisation, estimation, and visualisation.","Revit|ETABS|AutoCAD|DesignBuilder|Enscape","Developed a complete BIM model as a single source of truth.|Optimised building energy performance using simulations.|Followed NBC, KMBR and relevant IS codes.|Generated coordinated drawings, schedules and estimates.","/projects/p2.webp|/projects/p2.webp|/projects/p3.webp|/projects/p4.webp","https://www.youtube.com/playlist?list=PLBip7ccT-VcvewoYcRrg2QGc7Ix3mKT8O","","true"
"smart-city-bim","A Visionary Smart City","Urban-scale BIM concept design","Civil / BIM","civil","2023","BIM Modeler","Conceptual smart city design using BIM tools focusing on zoning, planning, and sustainable infrastructure.","Revit|AutoCAD","Prepared conceptual BIM models for urban planning.|Explored sustainable infrastructure layouts.|Created city-level visualisations.","/projects/S11.webp|/projects/S22.webp","https://youtu.be/WiaV3NmNlXg","","true"
"commercial-building-bim","Commercial Building – BIM Design","Complete BIM workflow for a commercial project","Civil / BIM","civil","2023","BIM Modeler","Designed a commercial building using BIM tools with detailed modelling, drawings, and visualisation.","Revit|AutoCAD|Enscape","Created detailed BIM models.|Generated coordinated drawings.|Produced realistic renders.","/projects/C11.webp|/projects/C12.webp|/projects/C13.webp|/projects/C14.webp","https://youtu.be/l7f6IUEXNOE","","true"
"residential-revit-series","Residential Building Designs (Revit)","Multiple house design models","Civil / BIM","civil","2022","BIM Modeler","Series of residential house design projects using Revit and Enscape for modelling and visualisation.","Revit|AutoCAD|Enscape","Developed multiple parametric Revit models.|Prepared drawings and schedules.|Created walkthroughs and renders.","/projects/h1.1.webp|/projects/h1.3.webp|/projects/h1.4.webp|/projects/h2.1.webp|/projects/h2.2.webp|/projects/h3.3.webp|/projects/h3.2.webp|/projects/H33.webp|/projects/H44.webp","https://www.youtube.com/playlist?list=PLBip7ccT-Vcvj8sn_rWNx6dMwNR3TSOfP","","true"
"xtasy-2k24","XTASY 2K24 – Arts Fest Website","Official college arts fest website","Web / Front-end","web","2024","Designer & Front-end Developer","Responsive event website developed to showcase fest events, schedules, and updates.","HTML|CSS|JavaScript","Static site deployed on GitHub Pages.|UI aligned with fest branding.|Clear navigation for events.","/projects/XTASY24.webp","https://pradul-p.github.io/XTASY-2K24/","https://github.com/PRADUL-P/XTASY-2K24","false"
"ignite-2k22","IGNITE 2K22 – College Sports Fest Website","Official sports fest website","Web / Front-end","web","2022","Front-end Developer (V BLAZE Team)","Website created for college sports fest to display schedules, team information, and event details.","HTML|CSS|JavaScript","Centralised sports event information.|Responsive and user-friendly UI.|Hosted on official college website.","/projects/ignite.webp|/projects/ignite2.webp","https://www.stthomaskannur.ac.in/ignite2022/","","false"
"iedc-website","IEDC – Entrepreneurship Cell Website","College innovation & entrepreneurship portal","Web / Front-end","web","2022","Front-end Developer","Website developed for the college IEDC cell to publish initiatives, events, and updates.","HTML|CSS|JavaScript","","/projects/IEDC.webp|/projects/IEDC2.webp","https://www.stthomaskannur.ac.in/stm2/IEDC/","","false"
"vblaze-website","VBLAZE – Design Club Website","Official design club website","Web / Front-end","web","2023","Front-end Developer","Modern React-based website developed for the VBLAZE design club.","React|Tailwind CSS","Clean modern UI.|Showcased club activities and projects.|Improved visibility of student initiatives.","/projects/vblaze.webp|/projects/vblaze2.webp","https://vblaze.tech/","https://github.com/PRADUL-P/V-BLAZE","false"
"project-dasp","Project DASP","Final Year Project Website","Web / Front-end","web","2024","Front-end Developer","Official website created to present the B.Tech final year project with clear documentation and public access.","HTML|CSS|JavaScript|GitHub Pages","","/projects/dasp.webp","https://project-dasp.github.io/","https://github.com/PRADUL-P/dasp",
"flip-book-magazine","Digital Flip-Book Magazine","Interactive digital publication platform","Web / Animation","web","2024","Lead Front-end Developer","A sophisticated digital magazine platform that converts technical PDF publications into interactive 3D flip-books with realistic physics.","HTML|CSS|JavaScript|Turn.js","","/projects/MAG.webp","https://enginexus.github.io/EngiNexus-24/","https://github.com/PRADUL-P/PDF-to-Flipbook",